doc_id,dis_id
228,912
229,110
229,112
229,747
229,748
230,68
230,69
230,71
230,73
230,75
230,83
230,115
230,123
230,129
230,156
230,159
230,160
230,912
230,913
230,1100
231,110
231,747
231,748
232,164
232,872
232,1075
232,1085
232,1110
234,164
234,872
234,1056
234,1075
234,1079
234,1085
234,1105
235,164
235,872
235,1056
235,1078
235,1085
235,1105
235,1110
236,699
236,872
236,1075
237,99
237,164
237,699
237,1075
238,164
238,298
238,699
238,872
238,1075
238,1085
241,164
241,872
241,1075
241,1085
243,27
243,30
243,31
243,32
243,33
243,138
243,240
243,834
243,835
243,837
243,841
243,870
243,1109
243,1119
244,108
244,110
244,112
244,113
244,745
244,747
244,748
244,767
246,108
246,110
246,112
246,113
246,747
246,748
247,108
247,110
247,112
247,113
247,737
247,745
247,747
247,748
248,110
248,112
248,741
248,742
248,747
249,108
249,110
249,738
249,739
249,741
249,747
249,748
250,108
250,110
250,112
250,738
250,739
250,741
250,745
250,747
250,748
251,98
251,798
251,799
251,800
251,1112
252,108
252,110
252,113
252,737
252,739
252,745
252,747
252,748
253,98
253,798
253,799
253,800
253,1112
254,108
254,110
254,112
254,739
254,745
254,747
254,748
256,54
256,56
256,61
256,62
256,135
256,137
256,138
256,160
256,198
256,240
256,267
256,956
256,961
256,972
257,108
257,110
257,112
257,747
257,748
258,13
258,14
258,21
258,24
258,25
258,135
258,137
258,138
258,198
258,240
258,267
258,364
258,426
258,1004
258,1009
258,1010
259,108
259,110
259,747
259,748
260,155
260,156
260,494
260,1111
261,108
261,110
261,113
261,745
261,747
261,748
262,32
262,33
262,835
262,861
262,869
263,68
263,69
263,71
263,73
263,910
263,915
263,1077
263,1078
263,1079
263,1082
263,1083
264,268
264,270
264,271
264,272
264,273
264,274
264,276
264,277
264,281
264,283
264,288
264,295
264,297
264,322
264,345
265,164
265,298
266,56
266,289
266,290
266,291
266,295
266,297
266,298
266,305
266,399
267,699
267,730
267,780
267,782
267,784
267,824
267,1113
270,124
270,125
270,661
270,694
270,699
